# Nmap 7.98 scan initiated Fri Dec  5 11:38:10 2025 as: nmap -T5 -n -O -Pn -vv -p 21,22,80,445 -oN scan 192.168.1.0/24
Nmap scan report for 192.168.1.0 [host down, received no-response]
Nmap scan report for 192.168.1.75 [host down, received no-response]
Nmap scan report for 192.168.1.76 [host down, received no-response]
Nmap scan report for 192.168.1.77 [host down, received no-response]
Nmap scan report for 192.168.1.78 [host down, received no-response]
Nmap scan report for 192.168.1.79 [host down, received no-response]
Nmap scan report for 192.168.1.80 [host down, received no-response]
Nmap scan report for 192.168.1.81 [host down, received no-response]
Nmap scan report for 192.168.1.82 [host down, received no-response]
Nmap scan report for 192.168.1.83 [host down, received no-response]
Nmap scan report for 192.168.1.84 [host down, received no-response]
Nmap scan report for 192.168.1.85 [host down, received no-response]
Nmap scan report for 192.168.1.86 [host down, received no-response]
Nmap scan report for 192.168.1.87 [host down, received no-response]
Nmap scan report for 192.168.1.88 [host down, received no-response]
Nmap scan report for 192.168.1.89 [host down, received no-response]
Nmap scan report for 192.168.1.90 [host down, received no-response]
Nmap scan report for 192.168.1.91 [host down, received no-response]
Nmap scan report for 192.168.1.92 [host down, received no-response]
Nmap scan report for 192.168.1.93 [host down, received no-response]
Nmap scan report for 192.168.1.94 [host down, received no-response]
Nmap scan report for 192.168.1.95 [host down, received no-response]
Nmap scan report for 192.168.1.96 [host down, received no-response]
Nmap scan report for 192.168.1.97 [host down, received no-response]
Nmap scan report for 192.168.1.98 [host down, received no-response]
Nmap scan report for 192.168.1.99 [host down, received no-response]
Nmap scan report for 192.168.1.100 [host down, received no-response]
Nmap scan report for 192.168.1.101 [host down, received no-response]
Nmap scan report for 192.168.1.102 [host down, received no-response]
Nmap scan report for 192.168.1.103 [host down, received no-response]
Nmap scan report for 192.168.1.104 [host down, received no-response]
Nmap scan report for 192.168.1.105 [host down, received no-response]
Nmap scan report for 192.168.1.106 [host down, received no-response]
Nmap scan report for 192.168.1.107 [host down, received no-response]
Nmap scan report for 192.168.1.108 [host down, received no-response]
Nmap scan report for 192.168.1.109 [host down, received no-response]
Nmap scan report for 192.168.1.110 [host down, received no-response]
Nmap scan report for 192.168.1.111 [host down, received no-response]
Nmap scan report for 192.168.1.112 [host down, received no-response]
Nmap scan report for 192.168.1.113 [host down, received no-response]
Nmap scan report for 192.168.1.114 [host down, received no-response]
Nmap scan report for 192.168.1.115 [host down, received no-response]
Nmap scan report for 192.168.1.116 [host down, received no-response]
Nmap scan report for 192.168.1.117 [host down, received no-response]
Nmap scan report for 192.168.1.118 [host down, received no-response]
Nmap scan report for 192.168.1.119 [host down, received no-response]
Nmap scan report for 192.168.1.120 [host down, received no-response]
Nmap scan report for 192.168.1.121 [host down, received no-response]
Nmap scan report for 192.168.1.122 [host down, received no-response]
Nmap scan report for 192.168.1.123 [host down, received no-response]
Nmap scan report for 192.168.1.124 [host down, received no-response]
Nmap scan report for 192.168.1.125 [host down, received no-response]
Nmap scan report for 192.168.1.126 [host down, received no-response]
Nmap scan report for 192.168.1.127 [host down, received no-response]
Nmap scan report for 192.168.1.128 [host down, received no-response]
Nmap scan report for 192.168.1.129 [host down, received no-response]
Nmap scan report for 192.168.1.130 [host down, received no-response]
Nmap scan report for 192.168.1.131 [host down, received no-response]
Nmap scan report for 192.168.1.132 [host down, received no-response]
Nmap scan report for 192.168.1.133 [host down, received no-response]
Nmap scan report for 192.168.1.134 [host down, received no-response]
Nmap scan report for 192.168.1.135 [host down, received no-response]
Nmap scan report for 192.168.1.136 [host down, received no-response]
Nmap scan report for 192.168.1.137 [host down, received no-response]
Nmap scan report for 192.168.1.138 [host down, received no-response]
Nmap scan report for 192.168.1.139 [host down, received no-response]
Nmap scan report for 192.168.1.140 [host down, received no-response]
Nmap scan report for 192.168.1.141 [host down, received no-response]
Nmap scan report for 192.168.1.142 [host down, received no-response]
Nmap scan report for 192.168.1.143 [host down, received no-response]
Nmap scan report for 192.168.1.144 [host down, received no-response]
Nmap scan report for 192.168.1.145 [host down, received no-response]
Nmap scan report for 192.168.1.146 [host down, received no-response]
Nmap scan report for 192.168.1.147 [host down, received no-response]
Nmap scan report for 192.168.1.148 [host down, received no-response]
Nmap scan report for 192.168.1.149 [host down, received no-response]
Nmap scan report for 192.168.1.150 [host down, received no-response]
Nmap scan report for 192.168.1.151 [host down, received no-response]
Nmap scan report for 192.168.1.152 [host down, received no-response]
Nmap scan report for 192.168.1.153 [host down, received no-response]
Nmap scan report for 192.168.1.154 [host down, received no-response]
Nmap scan report for 192.168.1.155 [host down, received no-response]
Nmap scan report for 192.168.1.156 [host down, received no-response]
Nmap scan report for 192.168.1.157 [host down, received no-response]
Nmap scan report for 192.168.1.158 [host down, received no-response]
Nmap scan report for 192.168.1.159 [host down, received no-response]
Nmap scan report for 192.168.1.160 [host down, received no-response]
Nmap scan report for 192.168.1.161 [host down, received no-response]
Nmap scan report for 192.168.1.162 [host down, received no-response]
Nmap scan report for 192.168.1.163 [host down, received no-response]
Nmap scan report for 192.168.1.164 [host down, received no-response]
Nmap scan report for 192.168.1.165 [host down, received no-response]
Nmap scan report for 192.168.1.166 [host down, received no-response]
Nmap scan report for 192.168.1.167 [host down, received no-response]
Nmap scan report for 192.168.1.168 [host down, received no-response]
Nmap scan report for 192.168.1.169 [host down, received no-response]
Nmap scan report for 192.168.1.170 [host down, received no-response]
Nmap scan report for 192.168.1.171 [host down, received no-response]
Nmap scan report for 192.168.1.172 [host down, received no-response]
Nmap scan report for 192.168.1.173 [host down, received no-response]
Nmap scan report for 192.168.1.174 [host down, received no-response]
Nmap scan report for 192.168.1.175 [host down, received no-response]
Nmap scan report for 192.168.1.176 [host down, received no-response]
Nmap scan report for 192.168.1.177 [host down, received no-response]
Nmap scan report for 192.168.1.178 [host down, received no-response]
Nmap scan report for 192.168.1.179 [host down, received no-response]
Nmap scan report for 192.168.1.180 [host down, received no-response]
Nmap scan report for 192.168.1.181 [host down, received no-response]
Nmap scan report for 192.168.1.182 [host down, received no-response]
Nmap scan report for 192.168.1.183 [host down, received no-response]
Nmap scan report for 192.168.1.184 [host down, received no-response]
Nmap scan report for 192.168.1.185 [host down, received no-response]
Nmap scan report for 192.168.1.186 [host down, received no-response]
Nmap scan report for 192.168.1.187 [host down, received no-response]
Nmap scan report for 192.168.1.188 [host down, received no-response]
Nmap scan report for 192.168.1.189 [host down, received no-response]
Nmap scan report for 192.168.1.190 [host down, received no-response]
Nmap scan report for 192.168.1.191 [host down, received no-response]
Nmap scan report for 192.168.1.192 [host down, received no-response]
Nmap scan report for 192.168.1.193 [host down, received no-response]
Nmap scan report for 192.168.1.194 [host down, received no-response]
Nmap scan report for 192.168.1.195 [host down, received no-response]
Nmap scan report for 192.168.1.196 [host down, received no-response]
Nmap scan report for 192.168.1.197 [host down, received no-response]
Nmap scan report for 192.168.1.198 [host down, received no-response]
Nmap scan report for 192.168.1.199 [host down, received no-response]
Nmap scan report for 192.168.1.201 [host down, received no-response]
Nmap scan report for 192.168.1.202 [host down, received no-response]
Nmap scan report for 192.168.1.203 [host down, received no-response]
Nmap scan report for 192.168.1.204 [host down, received no-response]
Nmap scan report for 192.168.1.205 [host down, received no-response]
Nmap scan report for 192.168.1.206 [host down, received no-response]
Nmap scan report for 192.168.1.207 [host down, received no-response]
Nmap scan report for 192.168.1.208 [host down, received no-response]
Nmap scan report for 192.168.1.209 [host down, received no-response]
Nmap scan report for 192.168.1.210 [host down, received no-response]
Nmap scan report for 192.168.1.211 [host down, received no-response]
Nmap scan report for 192.168.1.212 [host down, received no-response]
Nmap scan report for 192.168.1.213 [host down, received no-response]
Nmap scan report for 192.168.1.214 [host down, received no-response]
Nmap scan report for 192.168.1.215 [host down, received no-response]
Nmap scan report for 192.168.1.216 [host down, received no-response]
Nmap scan report for 192.168.1.217 [host down, received no-response]
Nmap scan report for 192.168.1.218 [host down, received no-response]
Nmap scan report for 192.168.1.219 [host down, received no-response]
Nmap scan report for 192.168.1.220 [host down, received no-response]
Nmap scan report for 192.168.1.221 [host down, received no-response]
Nmap scan report for 192.168.1.222 [host down, received no-response]
Nmap scan report for 192.168.1.223 [host down, received no-response]
Nmap scan report for 192.168.1.224 [host down, received no-response]
Nmap scan report for 192.168.1.225 [host down, received no-response]
Nmap scan report for 192.168.1.226 [host down, received no-response]
Nmap scan report for 192.168.1.227 [host down, received no-response]
Nmap scan report for 192.168.1.228 [host down, received no-response]
Nmap scan report for 192.168.1.229 [host down, received no-response]
Nmap scan report for 192.168.1.230 [host down, received no-response]
Nmap scan report for 192.168.1.231 [host down, received no-response]
Nmap scan report for 192.168.1.232 [host down, received no-response]
Nmap scan report for 192.168.1.233 [host down, received no-response]
Nmap scan report for 192.168.1.234 [host down, received no-response]
Nmap scan report for 192.168.1.235 [host down, received no-response]
Nmap scan report for 192.168.1.236 [host down, received no-response]
Nmap scan report for 192.168.1.237 [host down, received no-response]
Nmap scan report for 192.168.1.238 [host down, received no-response]
Nmap scan report for 192.168.1.239 [host down, received no-response]
Nmap scan report for 192.168.1.240 [host down, received no-response]
Nmap scan report for 192.168.1.241 [host down, received no-response]
Nmap scan report for 192.168.1.242 [host down, received no-response]
Nmap scan report for 192.168.1.243 [host down, received no-response]
Nmap scan report for 192.168.1.244 [host down, received no-response]
Nmap scan report for 192.168.1.245 [host down, received no-response]
Nmap scan report for 192.168.1.246 [host down, received no-response]
Nmap scan report for 192.168.1.247 [host down, received no-response]
Nmap scan report for 192.168.1.248 [host down, received no-response]
Nmap scan report for 192.168.1.249 [host down, received no-response]
Nmap scan report for 192.168.1.250 [host down, received no-response]
Nmap scan report for 192.168.1.251 [host down, received no-response]
Nmap scan report for 192.168.1.252 [host down, received no-response]
Nmap scan report for 192.168.1.253 [host down, received no-response]
Nmap scan report for 192.168.1.254 [host down, received no-response]
Nmap scan report for 192.168.1.255 [host down, received no-response]
Nmap scan report for 192.168.1.10
Host is up, received arp-response (0.00061s latency).
Scanned at 2025-12-05 11:38:12 CET for 1s

PORT    STATE SERVICE      REASON
21/tcp  open  ftp          syn-ack ttl 64
22/tcp  open  ssh          syn-ack ttl 64
80/tcp  open  http         syn-ack ttl 64
445/tcp open  microsoft-ds syn-ack ttl 64
MAC Address: 00:0C:29:56:CB:99 (VMware)
Warning: OSScan results may be unreliable because we could not find at least 1 open and 1 closed port
Device type: general purpose
Running: Linux 4.X|5.X
OS CPE: cpe:/o:linux:linux_kernel:4 cpe:/o:linux:linux_kernel:5
OS details: Linux 4.15 - 5.19, OpenWrt 21.02 (Linux 5.4)
TCP/IP fingerprint:
OS:SCAN(V=7.98%E=4%D=12/5%OT=21%CT=%CU=37660%PV=Y%DS=1%DC=D%G=N%M=000C29%TM
OS:=6932B615%P=x86_64-pc-linux-gnu)SEQ(SP=FD%GCD=1%ISR=109%TI=Z%CI=Z%II=I%T
OS:S=A)OPS(O1=M5B4ST11NW7%O2=M5B4ST11NW7%O3=M5B4NNT11NW7%O4=M5B4ST11NW7%O5=
OS:M5B4ST11NW7%O6=M5B4ST11)WIN(W1=FE88%W2=FE88%W3=FE88%W4=FE88%W5=FE88%W6=F
OS:E88)ECN(R=Y%DF=Y%T=40%W=FAF0%O=M5B4NNSNW7%CC=Y%Q=)T1(R=Y%DF=Y%T=40%S=O%A
OS:=S+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=40%W=0%S=A%A=Z%F=R%O=%RD=0%
OS:Q=)T5(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=40%W=0%S=
OS:A%A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=
OS:Y%DF=N%T=40%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%
OS:T=40%CD=S)

Uptime guess: 43.742 days (since Wed Oct 22 18:49:35 2025)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=253 (Good luck!)
IP ID Sequence Generation: All zeros

Nmap scan report for 192.168.1.12
Host is up, received arp-response (0.00054s latency).
Scanned at 2025-12-05 11:38:12 CET for 1s

PORT    STATE  SERVICE      REASON
21/tcp  closed ftp          reset ttl 64
22/tcp  open   ssh          syn-ack ttl 64
80/tcp  open   http         syn-ack ttl 64
445/tcp closed microsoft-ds reset ttl 64
MAC Address: 00:0C:29:53:63:E5 (VMware)
Device type: general purpose|router
Running: Linux 4.X|5.X, MikroTik RouterOS 7.X
OS CPE: cpe:/o:linux:linux_kernel:4 cpe:/o:linux:linux_kernel:5 cpe:/o:mikrotik:routeros:7 cpe:/o:linux:linux_kernel:5.6.3
OS details: Linux 4.15 - 5.19, OpenWrt 21.02 (Linux 5.4), MikroTik RouterOS 7.2 - 7.5 (Linux 5.6.3)
TCP/IP fingerprint:
OS:SCAN(V=7.98%E=4%D=12/5%OT=22%CT=21%CU=41493%PV=Y%DS=1%DC=D%G=N%M=000C29%
OS:TM=6932B615%P=x86_64-pc-linux-gnu)SEQ(SP=105%GCD=1%ISR=10E%TI=Z%CI=Z%II=
OS:I%TS=A)OPS(O1=M5B4ST11NW7%O2=M5B4ST11NW7%O3=M5B4NNT11NW7%O4=M5B4ST11NW7%
OS:O5=M5B4ST11NW7%O6=M5B4ST11)WIN(W1=FE88%W2=FE88%W3=FE88%W4=FE88%W5=FE88%W
OS:6=FE88)ECN(R=Y%DF=Y%T=40%W=FAF0%O=M5B4NNSNW7%CC=Y%Q=)T1(R=Y%DF=Y%T=40%S=
OS:O%A=S+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=40%W=0%S=A%A=Z%F=R%O=%RD
OS:=0%Q=)T5(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=40%W=0
OS:%S=A%A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1
OS:(R=Y%DF=N%T=40%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI
OS:=N%T=40%CD=S)

Uptime guess: 48.267 days (since Sat Oct 18 06:13:16 2025)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=261 (Good luck!)
IP ID Sequence Generation: All zeros

Nmap scan report for 192.168.1.14
Host is up, received arp-response (0.00052s latency).
Scanned at 2025-12-05 11:38:12 CET for 1s

PORT    STATE  SERVICE      REASON
21/tcp  open   ftp          syn-ack ttl 64
22/tcp  open   ssh          syn-ack ttl 64
80/tcp  closed http         reset ttl 64
445/tcp closed microsoft-ds reset ttl 64
MAC Address: 00:0C:29:57:24:A7 (VMware)
Device type: general purpose
Running: Linux 4.X|5.X
OS CPE: cpe:/o:linux:linux_kernel:4 cpe:/o:linux:linux_kernel:5
OS details: Linux 4.15 - 5.19, OpenWrt 21.02 (Linux 5.4)
TCP/IP fingerprint:
OS:SCAN(V=7.98%E=4%D=12/5%OT=21%CT=80%CU=31841%PV=Y%DS=1%DC=D%G=N%M=000C29%
OS:TM=6932B615%P=x86_64-pc-linux-gnu)SEQ(SP=FE%GCD=1%ISR=10F%TI=Z%CI=Z%TS=A
OS:)OPS(O1=M5B4ST11NW7%O2=M5B4ST11NW7%O3=M5B4NNT11NW7%O4=M5B4ST11NW7%O5=M5B
OS:4ST11NW7%O6=M5B4ST11)WIN(W1=FE88%W2=FE88%W3=FE88%W4=FE88%W5=FE88%W6=FE88
OS:)ECN(R=Y%DF=Y%T=40%W=FAF0%O=M5B4NNSNW7%CC=Y%Q=)T1(R=Y%DF=Y%T=40%S=O%A=S+
OS:%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)
OS:T5(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=40%W=0%S=A%A
OS:=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%D
OS:F=N%T=40%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=4
OS:0%CD=S)

Uptime guess: 3.217 days (since Tue Dec  2 06:26:17 2025)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=254 (Good luck!)
IP ID Sequence Generation: All zeros

Nmap scan report for 192.168.1.200
Host is up, received user-set (0.000080s latency).
Scanned at 2025-12-05 11:38:13 CET for 4s

PORT    STATE    SERVICE      REASON
21/tcp  filtered ftp          no-response
22/tcp  filtered ssh          no-response
80/tcp  filtered http         no-response
445/tcp filtered microsoft-ds no-response
Too many fingerprints match this host to give specific OS details
TCP/IP fingerprint:
SCAN(V=7.98%E=4%D=12/5%OT=%CT=%CU=42315%PV=Y%DS=0%DC=L%G=N%TM=6932B619%P=x86_64-pc-linux-gnu)
SEQ()
U1(R=Y%DF=N%T=40%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)
IE(R=Y%DFI=N%T=40%CD=S)

Network Distance: 0 hops

Read data files from: /usr/bin/../share/nmap
OS detection performed. Please report any incorrect results at https://nmap.org/submit/ .
# Nmap done at Fri Dec  5 11:38:17 2025 -- 256 IP addresses (4 hosts up) scanned in 6.43 seconds
